values
"[15, 24, 28, 69, 80, 133, 169, 182, 191, 202, 236, 249, 258, 274, 282, 405, 443, 510, 537, 559, 568, 579, 632, 657, 666, 710, 717, 730, 742, 746, 755, 777, 806, 848, 860, 895, 920, 935, 940, 978, 1007, 1022, 1102, 1134, 1187, 1201, 1207, 1227, 1245, 1270, 1303, 1332, 1517, 1550, 1655, 1762, 1849, 1900, 1925, 1969, 2159, 2170, 2174, 2221]"
"[15, 24, 28, 69, 80, 133, 169, 182, 191, 202, 236, 249, 258, 274, 282, 405, 443, 510, 537, 559, 568, 579, 632, 657, 666, 710, 717, 730, 742, 746, 755, 777, 806, 848, 860, 895, 920, 935, 940, 978, 1007, 1022, 1102, 1134, 1187, 1201, 1207, 1227, 1245, 1270, 1303, 1332, 1517, 1550, 1655, 1762, 1849, 1900, 1925, 1969, 2159, 2170, 2174, 2221]"
"[15, 24, 28, 69, 80, 133, 169, 182, 191, 202, 236, 249, 258, 274, 282, 405, 443, 510, 537, 559, 568, 579, 632, 657, 666, 710, 717, 730, 742, 746, 755, 777, 806, 848, 860, 895, 920, 935, 940, 978, 1007, 1022, 1102, 1134, 1187, 1201, 1207, 1227, 1245, 1270, 1303, 1332, 1517, 1550, 1655, 1762, 1849, 1900, 1925, 1969, 2159, 2170, 2174, 2221]"
"[18, 23, 31, 41, 80, 155, 207, 222, 256, 290, 326, 352, 360, 375, 437, 445, 469, 476, 489, 518, 653, 738, 850, 865, 878, 1015, 1041, 1049, 1088, 1093, 1098, 1171, 1189, 1236, 1285, 1477, 1549, 1573, 1586, 1640, 1687, 1707, 1733, 1746, 1764, 1775, 1803, 1852, 1878, 1884, 1899, 1922, 1928, 1956, 1967, 2000, 2034, 2047, 2068, 2511, 2524, 2531, 2557, 2583]"
"[18, 23, 31, 41, 80, 155, 207, 222, 256, 290, 326, 352, 360, 375, 437, 445, 469, 476, 489, 518, 653, 738, 850, 865, 878, 1015, 1041, 1049, 1088, 1093, 1098, 1171, 1189, 1236, 1285, 1477, 1549, 1573, 1586, 1640, 1687, 1707, 1733, 1746, 1764, 1775, 1803, 1852, 1878, 1884, 1899, 1922, 1928, 1956, 1967, 2000, 2034, 2047, 2068, 2511, 2524, 2531, 2557, 2583]"
"[18, 23, 31, 41, 80, 155, 207, 222, 256, 290, 326, 352, 360, 375, 437, 445, 469, 476, 489, 518, 653, 738, 850, 865, 878, 1015, 1041, 1049, 1088, 1093, 1098, 1171, 1189, 1236, 1285, 1477, 1549, 1573, 1586, 1640, 1687, 1707, 1733, 1746, 1764, 1775, 1803, 1852, 1878, 1884, 1899, 1922, 1928, 1956, 1967, 2000, 2034, 2047, 2068, 2511, 2524, 2531, 2557, 2583]"
"[18, 29, 92, 111, 173, 189, 200, 217, 227, 244, 341, 369, 377, 415, 458, 466, 480, 491, 496, 510, 542, 605, 621, 654, 683, 694, 805, 819, 919, 1090, 1120, 1194, 1245, 1294, 1324, 1335, 1346, 1370, 1381, 1440, 1487, 1495, 1506, 1519, 1530, 1541, 1546, 1568, 1584, 1622, 2013, 2046, 2113, 2146, 2165, 2458, 2548, 2602, 2635, 2645, 2651, 2694, 2700, 2708]"
"[18, 29, 92, 111, 173, 189, 200, 217, 227, 244, 341, 369, 377, 415, 458, 466, 480, 491, 496, 510, 542, 605, 621, 654, 683, 694, 805, 819, 919, 1090, 1120, 1194, 1245, 1294, 1324, 1335, 1346, 1370, 1381, 1440, 1487, 1495, 1506, 1519, 1530, 1541, 1546, 1568, 1584, 1622, 2013, 2046, 2113, 2146, 2165, 2458, 2548, 2602, 2635, 2645, 2651, 2694, 2700, 2708]"
"[18, 29, 92, 111, 173, 189, 200, 217, 227, 244, 341, 369, 377, 415, 458, 466, 480, 491, 496, 510, 542, 605, 621, 654, 683, 694, 805, 819, 919, 1090, 1120, 1194, 1245, 1294, 1324, 1335, 1346, 1370, 1381, 1440, 1487, 1495, 1506, 1519, 1530, 1541, 1546, 1568, 1584, 1622, 2013, 2046, 2113, 2146, 2165, 2458, 2548, 2602, 2635, 2645, 2651, 2694, 2700, 2708]"
"[17, 26, 31, 77, 99, 145, 170, 184, 199, 211, 255, 306, 315, 335, 413, 437, 442, 456, 495, 692, 726, 774, 804, 811, 823, 981, 1020, 1027, 1100, 1117, 1158, 1204, 1338, 1358, 1377, 1387, 1418, 1452, 1545, 1620, 1627, 1654, 1690, 1761, 1771, 1802, 1831, 1907, 1919, 1931, 1955, 1970, 1996, 2023, 2033, 2082, 2099, 2140, 2174, 2354, 2366, 2373, 2412, 2422]"
