values
"[15, 80, 193, 262, 503, 579, 710, 748, 857, 940, 1102, 1209, 1328, 1760, 1969, 2221]"
"[15, 80, 193, 262, 503, 579, 710, 748, 857, 940, 1102, 1209, 1328, 1760, 1969, 2221]"
"[15, 80, 193, 262, 503, 579, 710, 748, 857, 940, 1102, 1209, 1328, 1760, 1969, 2221]"
"[18, 80, 272, 373, 474, 738, 1015, 1096, 1282, 1586, 1733, 1808, 1920, 1985, 2511, 2583]"
"[18, 80, 272, 373, 474, 738, 1015, 1096, 1282, 1586, 1733, 1808, 1920, 1985, 2511, 2583]"
"[18, 80, 272, 373, 474, 738, 1015, 1096, 1282, 1586, 1733, 1808, 1920, 1985, 2511, 2583]"
"[18, 173, 233, 393, 488, 605, 694, 1096, 1310, 1381, 1506, 1549, 2016, 2428, 2645, 2708]"
"[18, 173, 233, 393, 488, 605, 694, 1096, 1310, 1381, 1506, 1549, 2016, 2428, 2645, 2708]"
"[18, 173, 233, 393, 488, 605, 694, 1096, 1310, 1381, 1506, 1549, 2016, 2428, 2645, 2708]"
"[17, 99, 204, 330, 447, 774, 981, 1153, 1365, 1545, 1690, 1860, 1967, 2072, 2354, 2422]"
"[17, 99, 204, 330, 447, 774, 981, 1153, 1365, 1545, 1690, 1860, 1967, 2072, 2354, 2422]"
"[17, 99, 204, 330, 447, 774, 981, 1153, 1365, 1545, 1690, 1860, 1967, 2072, 2354, 2422]"
"[19, 223, 384, 526, 945, 1324, 1485, 1527, 1622, 1667, 1722, 1812, 1901, 2171, 2704, 2779]"
"[19, 223, 384, 526, 945, 1324, 1485, 1527, 1622, 1667, 1722, 1812, 1901, 2171, 2704, 2779]"
"[19, 223, 384, 526, 945, 1324, 1485, 1527, 1622, 1667, 1722, 1812, 1901, 2171, 2704, 2779]"
"[16, 51, 279, 1325, 1729, 1870, 1915, 1957, 2089, 2156, 2198, 2249, 2403, 2528, 3128, 3202]"
"[16, 51, 279, 1325, 1729, 1870, 1915, 1957, 2089, 2156, 2198, 2249, 2403, 2528, 3128, 3202]"
"[16, 51, 279, 1325, 1729, 1870, 1915, 1957, 2089, 2156, 2198, 2249, 2403, 2528, 3128, 3202]"
"[4, 70, 145, 287, 747, 956, 1082, 1469, 1531, 1642, 1690, 1754, 1863, 1968, 2221, 2273]"
"[4, 70, 145, 287, 747, 956, 1082, 1469, 1531, 1642, 1690, 1754, 1863, 1968, 2221, 2273]"
"[4, 70, 145, 287, 747, 956, 1082, 1469, 1531, 1642, 1690, 1754, 1863, 1968, 2221, 2273]"
"[11, 41, 192, 346, 1086, 1210, 1328, 1471, 1644, 1787, 1867, 1997, 2079, 2494, 2681, 2745]"
"[11, 41, 192, 346, 1086, 1210, 1328, 1471, 1644, 1787, 1867, 1997, 2079, 2494, 2681, 2745]"
"[11, 41, 192, 346, 1086, 1210, 1328, 1471, 1644, 1787, 1867, 1997, 2079, 2494, 2681, 2745]"
"[3, 27, 147, 205, 334, 546, 695, 832, 1254, 1364, 1461, 1575, 1665, 1761, 1785, 1833]"
"[3, 27, 147, 205, 334, 546, 695, 832, 1254, 1364, 1461, 1575, 1665, 1761, 1785, 1833]"
"[3, 27, 147, 205, 334, 546, 695, 832, 1254, 1364, 1461, 1575, 1665, 1761, 1785, 1833]"
"[5, 34, 117, 218, 307, 860, 975, 1265, 1539, 1608, 1668, 1821, 2131, 2534, 2580, 2868]"
"[5, 34, 117, 218, 307, 860, 975, 1265, 1539, 1608, 1668, 1821, 2131, 2534, 2580, 2868]"
"[5, 34, 117, 218, 307, 860, 975, 1265, 1539, 1608, 1668, 1821, 2131, 2534, 2580, 2868]"
"[5, 102, 215, 300, 379, 473, 532, 938, 1170, 1352, 1618, 1896, 2137, 2318, 2763, 2829]"
"[5, 102, 215, 300, 379, 473, 532, 938, 1170, 1352, 1618, 1896, 2137, 2318, 2763, 2829]"
"[5, 102, 215, 300, 379, 473, 532, 938, 1170, 1352, 1618, 1896, 2137, 2318, 2763, 2829]"
"[9, 44, 113, 237, 261, 425, 970, 1035, 1073, 1120, 1163, 1186, 1219, 1257, 1381, 1418]"
"[9, 44, 113, 237, 261, 425, 970, 1035, 1073, 1120, 1163, 1186, 1219, 1257, 1381, 1418]"
"[9, 44, 113, 237, 261, 425, 970, 1035, 1073, 1120, 1163, 1186, 1219, 1257, 1381, 1418]"
"[7, 30, 120, 152, 234, 312, 343, 396, 516, 556, 663, 751, 1216, 1371, 1607, 1813]"
"[7, 30, 120, 152, 234, 312, 343, 396, 516, 556, 663, 751, 1216, 1371, 1607, 1813]"
"[7, 30, 120, 152, 234, 312, 343, 396, 516, 556, 663, 751, 1216, 1371, 1607, 1813]"
"[5, 37, 118, 252, 325, 394, 528, 792, 861, 966, 1166, 1654, 2150, 2791, 2852, 2896]"
"[5, 37, 118, 252, 325, 394, 528, 792, 861, 966, 1166, 1654, 2150, 2791, 2852, 2896]"
"[5, 37, 118, 252, 325, 394, 528, 792, 861, 966, 1166, 1654, 2150, 2791, 2852, 2896]"
"[6, 33, 126, 267, 554, 849, 1243, 1413, 2235, 2426, 2506, 2564, 2654, 2731, 2999, 3069]"
"[6, 33, 126, 267, 554, 849, 1243, 1413, 2235, 2426, 2506, 2564, 2654, 2731, 2999, 3069]"
"[6, 33, 126, 267, 554, 849, 1243, 1413, 2235, 2426, 2506, 2564, 2654, 2731, 2999, 3069]"
"[19, 150, 235, 344, 470, 927, 1239, 1715, 1780, 1857, 1887, 1923, 1983, 2062, 2410, 2727]"
"[19, 150, 235, 344, 470, 927, 1239, 1715, 1780, 1857, 1887, 1923, 1983, 2062, 2410, 2727]"
"[19, 150, 235, 344, 470, 927, 1239, 1715, 1780, 1857, 1887, 1923, 1983, 2062, 2410, 2727]"
"[20, 208, 284, 316, 354, 388, 426, 522, 856, 969, 1218, 1889, 2106, 2307, 2826, 2896]"
"[20, 208, 284, 316, 354, 388, 426, 522, 856, 969, 1218, 1889, 2106, 2307, 2826, 2896]"
"[20, 208, 284, 316, 354, 388, 426, 522, 856, 969, 1218, 1889, 2106, 2307, 2826, 2896]"
"[3, 21, 49, 141, 194, 271, 359, 495, 666, 802, 892, 973, 1315, 1482, 1914, 1962]"
"[3, 21, 49, 141, 194, 271, 359, 495, 666, 802, 892, 973, 1315, 1482, 1914, 1962]"
"[3, 21, 49, 141, 194, 271, 359, 495, 666, 802, 892, 973, 1315, 1482, 1914, 1962]"
"[18, 202, 336, 459, 526, 662, 787, 892, 1175, 1789, 1978, 2328, 2398, 2462, 2606, 2665]"
"[18, 202, 336, 459, 526, 662, 787, 892, 1175, 1789, 1978, 2328, 2398, 2462, 2606, 2665]"
"[18, 202, 336, 459, 526, 662, 787, 892, 1175, 1789, 1978, 2328, 2398, 2462, 2606, 2665]"
"[4, 32, 119, 212, 279, 329, 379, 409, 437, 462, 556, 1051, 1673, 1913, 2235, 2490]"
"[4, 32, 119, 212, 279, 329, 379, 409, 437, 462, 556, 1051, 1673, 1913, 2235, 2490]"
"[4, 32, 119, 212, 279, 329, 379, 409, 437, 462, 556, 1051, 1673, 1913, 2235, 2490]"
"[14, 118, 173, 378, 658, 688, 924, 1492, 1659, 1709, 1742, 1830, 1856, 1877, 1963, 2009]"
"[14, 118, 173, 378, 658, 688, 924, 1492, 1659, 1709, 1742, 1830, 1856, 1877, 1963, 2009]"
"[14, 118, 173, 378, 658, 688, 924, 1492, 1659, 1709, 1742, 1830, 1856, 1877, 1963, 2009]"
